age,gender,relationship,occasion,budget,interests,gift_name,description,link,rating,image_link
57,Female,Sister,Diwali,200,"Education,Technology,Photography",Customized T-shirt,Compact and practical customized t-shirt,https://www.amazon.in/Customized-Printed-Nirmal-Matty-T-Shirt/dp/B0CS9SHLJJ/ref=sr_1_28?crid=1W3IR2ZBD74EK&dib=eyJ2IjoiMSJ9.SE7wJinGP30C2EbaC4ATmhHkz9ByFruO1gncr67mQuJuliMmXk3VczalgykGz6CVHyCFoziCqYyshIq_Nl9nhoQdq2FDvBjLp0JKpAqmyTPBZCeVoZ63SWjkd1z6fV9NSJB0L_m69qJ1po4mQpAPfw-PRIf0UXY9EKh3W-EN-8cZ-Yp90JlI9paUZIXkWzDBLVuPARJDIZJOWLX9HTTW98cy4YTR3ZeZ1pIslmjVXZEDTjn88j8Cv5zqqqj7ehUk-IAeYzR1a53Oop62HUudAwyS7oEek0CbZzde7bTfFkM.TOKXFX-f0jsYFjMlwXNMm89c-QYEkJ4DFPjMdqoXi20&dib_tag=se&keywords=customised%2Bt%2Bshirt&qid=1746539420&sprefix=customised%2Btshirt%2Caps%2C250&sr=8-28&th=1&psc=1,3,https://m.media-amazon.com/images/I/41WlNS7sQvL._SX569_.jpg
40,Male,Brother,Birthday,10000,"Writing,Podcasts",Bookshelf,Eco-friendly materials bookshelf,https://www.amazon.in/46Treeform-Bookshelf-Industrial-Bookcase-Shelving/dp/B0F3VWMQ6K/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=335N0LUDXFMNK&cv_ct_cx=bookshelf+in+10000&keywords=bookshelf+in+10000&pd_rd_i=B0F3VWMQ6K&pd_rd_r=feaefea3-37b3-4e98-8ba6-10fa68cf386e&pd_rd_w=EEtik&pd_rd_wg=GyqQS&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=HVN4VSP2B356AS4YH4DG&qid=1746539475&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=bookshelf+in+10000%2Caps%2C246&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,3,https://m.media-amazon.com/images/I/511M2JIuoXL._SX300_SY300_QL70_FMwebp_.jpg
46,Female,Fianc̩e,Housewarming,200,"Education,Astronomy,Photography,History",Customized T-shirt,Handmade with love customized t-shirt,https://www.amazon.in/Khaos-Customised-Personalised-Tshirts-cus-Men-Mustard-ydh-XL/dp/B0CJYLCDSF/ref=sr_1_6?crid=2JNJISH6SNWHM&dib=eyJ2IjoiMSJ9.rGK4SE2ohgXXBokRfljTLiWwmDzGaUuJPnTZplr3AQMnE0bd-dakD_--ForuH4SbrIiK9-xXLHRcptYJ0uyLVZixEQcV3jimNcaem3tuH0pdYb8zl1W-jZRe_wLyUcEZYScmITCw5eIy6c-GtDRKWUBVj3kOJ_ru2p1G8cVQZ4aTUXjdtQyE1XKJpa0B0Spuq7w0tKhWTctk9cUgW67xZzaw9G5BsuGxBmWDE4pr0z8ZE8vo4MJ1b60rzBxE8WG0dI-rZBbYsAOhp7TAwNZ9Z2VpPuLMlygmBib-pFoeTcA.uuPe0QRhIGG-zSBeMRJAdyGlric_Q4GQOxhTCeK8icQ&dib_tag=se&keywords=customised%2Bt%2Bshirt%2Bin%2B200&qid=1746539599&sprefix=customised%2Bt%2Bshirt%2Bin%2B200%2Caps%2C261&sr=8-6&th=1&psc=1,3,https://m.media-amazon.com/images/I/510mTpFxUUL._SX679_.jpg
38,Male,Husband,Achievement Celebration,500,"Astronomy,Parenting",Indoor Plant,A perfect gift for any occasion indoor plant,https://www.amazon.in/CAPPL-Stunning-Spathyphyllum-Included-Fertilizer/dp/B075N8FXJ8/ref=sr_1_5?crid=2E0O1O5CR48BS&dib=eyJ2IjoiMSJ9.230-NkA7OmFnft7BEZR9r2deBfmS3H7su9jxXNvyouR1lPodRAnBAgF1NFqxUsNs_KFOIw3plYZL-TuCiz02TWfwy9p9-irODdjvrfXohRhsUm_26MSLH-JjpVLl1ebmQ-2U-aJ63BZ7L7c16-DKR6GbQCwH4T-W3iihPasynLmoY3ukCGJhgRl73y--cp3Kup8_xvN6xWd7il9ibj4brMes9yk5cXFpM5VhW6HeekH7pHTk93sdU-QIEOhEw5WWscYYBIFsyCir8ZMgr5oGUjNSTOLSoJRNQG04qTBw6gI.8fwv0uWvoOQINKhuXWNcYYLwjiTskXhDIeg9hsCrt1c&dib_tag=se&keywords=indoor+plant+in+500&qid=1746539643&sprefix=indoor+plant+in+500%2Caps%2C249&sr=8-5,3,https://m.media-amazon.com/images/I/41LQEMBOnXL._SX300_SY300_QL70_FMwebp_.jpg
43,Male,Boyfriend,Sports Victory,200,"Adventure,Investing,Comedy,Environment",Handmade Bracelet,Comfortable and useful handmade bracelet,https://www.amazon.in/Ambitieux-DIY-Bracelet-Jewelry-Making/dp/B0DR5MKX9W/ref=sr_1_5?crid=ITMNBNCNQ7M2&dib=eyJ2IjoiMSJ9.hPkvIykkJKtNBfS4UDm35gdRnO_RGZ9JPuNFqtXqaWwvUNl0GXq41ppk-VibtPq68pA0sq7dcdBcr2njJ_cOfttb1OWOQKgieiNG2gqPUWOWd33AO4i0vTyifv9qGElHHMLBHsmH4M7Rk8j87HkwRvgH_gaNIq5-SFJ5ejwW433XKxAIwYBBUok3BfOuNZcXk3JF4O9mIczZW1SVLtuYo0jLntMBvH4UUJTpORfai1dRnDQFJpNFsyKNlN1M1zWN9wYL2CHpmzcLXJnIWgUh1vkRUsXGU-rTHd6g2Sb5YKU.EIMYmXJ9cPYRGljdzB-uFk_He3WQx64o1ZfoiAjkd7Y&dib_tag=se&keywords=handmade%2Bbracelet%2Bin%2B200&qid=1746539682&sprefix=handmade%2Bbracelet%2Bin%2B20%2Caps%2C261&sr=8-5&th=1,3,https://m.media-amazon.com/images/I/41SrdKLpvKL._SX300_SY300_QL70_FMwebp_.jpg
34,Female,Mentor,Women's Day,2000,"Politics,Sports,Anime",Art Supplies,Trendy and stylish art supplies,https://www.amazon.in/Angel-Bear-Professional-Drawing-Pencils/dp/B089SQN15R/ref=sr_1_1_sspa?crid=2K120XIF1AXB0&dib=eyJ2IjoiMSJ9.UZNDweqOLD9l3sLMAx_MoI6wtrB1E4d91_Mc5_IDGZeHUYhj6zbJYr3XBeYLiel1QppyvahMMfgXR_9_xHrezMPwZ-8viyIxM3HwxHYNIFCRWKLUlRAK33Gz0m13-EjB-MT-3EBgfL3RexeSlDXrmo4MYV3jwPcQHqIYS6Zk9fEt2f8Jn-k9sIogJ_jBoE082VeW20dt97koj9PB3CppQgB-2HKxSmO7wia9l7VgbpckAk0ED5Co3oV09ZuUHCndRU-XO_dk5yi3YDiPNgn0MB3oBVpeAs0Mh6W2GFSZ2sU.YGcwBbGzXn5rJrLO7reiwu7KrrVs2IcWEH5QYwhmjKE&dib_tag=se&keywords=art+supplies&qid=1746539767&s=kitchen&sprefix=art+supplies%2Ckitchen%2C232&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,4,https://m.media-amazon.com/images/I/51Vuj4cga8L._SX300_SY300_QL70_FMwebp_.jpg
45,Female,Mentor,Raksha Bandhan,500,"Technology,Theater",Bookshelf,Eco-friendly materials bookshelf,https://www.amazon.in/Dime-Store-Pre-Laminated-Multipurpose-Organization/dp/B0CN9F7BR2/ref=sr_1_9?crid=Z7LQPPO8G0J3&dib=eyJ2IjoiMSJ9.iFcWkKbBjAJ7E7yE2yMkDIoICZZ7cqnBsRi6fjms7o57-aoRZ0niWeqBn_85V1TjcAt5UQ3hdE8fAKdILe3Q_AQkc30RLjxZWgNQdFtO-ftZ77_PQk1SJ6m16w0uVx1dr6Rk-IL61Sfxk2_W7Ws-dVNaqawZ9N_81qaybU7SOCwRa_Y9LvFYp2Dl6hkNr3lEFDfW1bnF1NTAs0whfDg3ju--yiatBcHAwTTnUI_IdvLALlGPReTOt6B_5sz157goRnCkw9IymypOt27LpXfis6Ijw8g7uAvnsSX73S1fXzQ.c4j-PbURm3cTyeOm31Wx7bJEienfIFQ60PGr6z-5NbE&dib_tag=se&keywords=bookshelf%2Bin%2B200&qid=1746539814&s=kitchen&sprefix=bookshelf%2Bin%2B200%2Ckitchen%2C224&sr=1-9&th=1,4,https://m.media-amazon.com/images/I/51Jah-uzs7L._SX300_SY300_QL70_FMwebp_.jpg
53,Male,Father,Christmas,10000,"Coding,Makeup",Indoor Plant,A perfect gift for any occasion indoor plant,https://www.amazon.in/purifying-Natural-Areca-Outdoor-plant/dp/B0F3R881QZ/ref=sr_1_6?crid=2N8S6BZRODUQE&dib=eyJ2IjoiMSJ9.ekNq7Dq8vX4GTKhIb1TqHRrvujStlLJq38yf45iTDS2DllWIGKBnF-3hv2-J43MdwRx3SdCGgU91Yy94DzWA9ObnJTWPbuJYd4LRxGM_0IeDI6HjCAyxYtNH2WxZkYMrl1kjQxrIvcwwqkmMbMpFR53FtIPFWm8aqcTk1GeotNM4L6Mdob7MccxbmgfIGWBiRCedJjPGDKkGJhNgI6wXsTjD0ZIVFTKJWi-5JwBTCydDQlh50096ofnXTdXwYd9v680NCY-bmPeJftoDn86HtXqwD2uh72fkq2tCXIMj2Ms.tWXr-Vgr_7TnN1cHZl0TsIHWs0grwGoNhhSWGOK8Lgc&dib_tag=se&keywords=indoor+plant+in+10000&qid=1746539899&sprefix=indoor+plant+in+10000%2Caps%2C266&sr=8-6,5,https://m.media-amazon.com/images/I/31BlqkeFbxL._SX300_SY300_QL70_FMwebp_.jpg
47,Male,Fianc̩,Valentine's Day,1000,"Home Decor,Languages,Vlogging",Leather Wallet,Comfortable and useful leather wallet,https://www.amazon.in/EUME-Volcanic-Premium-Compartments-Everyday/dp/B0DVSZF1YP/ref=sr_1_1_sspa?crid=116KOKAIYGKO0&dib=eyJ2IjoiMSJ9.OZuzQnMuTyq7uR4k2vCcyHKl7-oUmZ39iy9B52nQ5vk8Bi7d42OtsIQiQQPrmSq5TNtV7lzUcAjqzWc73lta-UfYuaDL6GkpDXZG6RaO-DhXJ76-hdPM2LmDO-_rFVVNbJb2xwxql9NKH1Sc3LqU0-rg3Lcuc8rCVJS_Z8K9_KXmMCkq0d0ZD2mUj_6iT6LuNVjn8SO1OeVljQJROGaKM8X7lPmr0D2-hmpVh5IMsviUPmUmNQiHdlSvMcv2PAOgL9OVkJyWzmQhzSOH9PinUFwOl9Z5XCikuvJ9vGQbKTI.Iv4jYjYxLCpZIv7XgBFsTHxfN4riL7u_1u8RbxNh0Ms&dib_tag=se&keywords=leather%2Bwallet&qid=1746539995&sprefix=leather%2Bwallet%2Caps%2C271&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,3,https://m.media-amazon.com/images/I/21INnnibLtL._SY300_SX300_.jpg
44,Female,Girlfriend,Raksha Bandhan,10000,"DIY,Makeup",Wireless Charger,Compact and practical wireless charger,https://www.amazon.in/Ambrane-Wireless-Charging-OnePlus-Powerpod/dp/B0C624CJRG/ref=sr_1_9?crid=35IG9X0I7G35G&dib=eyJ2IjoiMSJ9.Gy57UwSzQ2qpDEKywaPiZnSmNxS2G8wA581I11ZvPsExw2oMypNSVSl0m3wUDtrbZ1gISOKuEB0uSeYlV1mKS2KvRCFmSjOxDjniOJePEVF2dRmIA5LOKfegbayYph_Ltns9a9u9nXBXvG1xSP-_KLuxD8V1RbzztQ8Qk9yqaa5I82Ca-IJGMkgj9KoXzviJMGuaroRcpiS5jsb1uMD3emUtu0FMqTnHAWA45LJMcWk.zPBUy1JVjnMLevwof35NF9ueYhxOuJn9T8K5vYQPPic&dib_tag=se&keywords=wireless+charger&qid=1746540196&sprefix=wireless+charge%2Caps%2C248&sr=8-9,4,https://m.media-amazon.com/images/I/41PQUngJzCL._SX300_SY300_QL70_FMwebp_.jpg
56,Male,Boyfriend,Sports Victory,200,"Politics,Theater,Magic",Jewelry Box,Personalized for a special touch jewelry box,https://www.amazon.in/YouBella-Jewellery-Organiser-Container-Organizer/dp/B0BR2HLR8P/ref=sr_1_13?crid=JMPQN37SSCQE&dib=eyJ2IjoiMSJ9.lcYLO_amsIwUlDWLrGpMrmCe1gYrSZL8yz9J5B5T3_nvCkfNxEGtiNuVD7RHPBRryn81UtOHs22__iN9sc6Dw0L5k6w1LlqM2n9hKRw9SoIHkFX82fXWix1FbI4IOPBQgEPBMeHjBymIE3pYY3PN43IzIr4B_wvywK9F01YG4cjtcGzE1J_cQ1h1UUwuZyfO5tNK6kZSdzRZpLuB4Oog_xuIBaKw7-0TlNRlRPce3SJit8uxVJzColHlOA2OyxxLz1B1UTPnPSPpXWGlGkAGJKcj4GxAsG_lDkJoWSG8FrA.SwaD6YJKY26_LL6E3k-H2GczPJSm5cH1BdMMDDbA6yk&dib_tag=se&keywords=jeweller%2Bbox%2Bblue&qid=1746540277&sprefix=jeweller%2Bbox%2Bblue%2Caps%2C245&sr=8-13&th=1,3,https://m.media-amazon.com/images/I/41AJUWGSOSL._SX300_SY300_QL70_FMwebp_.jpg
59,Male,Father,Retirement,50000,"Investing,Meditation,Food,Makeup",Scented Candles,High quality scented candles,https://www.amazon.in/Amazon-Brand-Smokeless-Residue-Frosted/dp/B0D1KGK51R/ref=sr_1_47?crid=E2FVDUM2FW4I&dib=eyJ2IjoiMSJ9.fXUV7-gnMPBnuYSXY_WfjKRMhJ_62xhlvlSIEtORhflkENn0kq8YTgaHBx_Fx6bTP1EuOlzz2AA4Mg2Pgqbkch0wEw4rc0f6Qc_i-DYqLnA8hZVWqvcdO3KdBD9VjTqt8gEhqkwS44wrSZ1awf0GDSudQVWtK_SYtMyiz4sxJ7fnV7ayIv1PdpwRlAOF7SfjLW3MoZjMcyE5uGxjhzfE2X-J_jpOaZQx1txkgy_GUlzN9TSrDeHCdCl3HMPYUVPTZX4SXPjhE4i40tKio2YxU84bthMDG5kxbNbdTfOzQ2Y.uCn8m5Q_UJ01T61wCi-frtU7UHjHAiBso2ZbZVFIjsE&dib_tag=se&keywords=scented%2Bcandles%2Bin%2B50000&qid=1746540363&sprefix=scented%2Bcandles%2Bin%2B50000%2Caps%2C229&sr=8-47&th=1,5,https://m.media-amazon.com/images/I/419C+XAWqoL._SX342_SY445_.jpg
58,Male,Uncle,Achievement Celebration,10000,"History,Animals,Travel",Scented Candles,A perfect gift for any occasion scented candles,https://www.amazon.in/CANDELA-Celestial-Fragrance-Long-Lasting-Relaxation/dp/B0DYDLVXP8/ref=sr_1_39?crid=JYGE49DPJHHZ&dib=eyJ2IjoiMSJ9.Q6HGPYLCN91_ZIHUmjW3b_LmmR9kCLGshUsTtEB8a9exBzCyZQrwa9np2nHZvEIC6_LdHantpcHT12ozABsQNjSQ_3_ueTQc423NcmiGjwbPL6zhszgprdDkm_4UCzTCXP9nKBjAtTtguI0nyt-cbIQCOrwD9BkPPDv0I0yQWjQG0w47oha9XK9Pc4HWLQTggXlQx_39bDhf50wC6UyeRQc65WxRFftLtVX08l8D-qV-zlAkG-RCW5vdCpkCfK0BzaC0JwjwYEZ96y-_paGlt6cdRZZHL430bAGdow-wsqY.HO_paOYTw23lexS0t7yjH-WfyxBZS2FxVSixkZU551o&dib_tag=se&keywords=scented%2Bpowder%2Bcandles%2Btc&qid=1746540514&sprefix=scented%2Bpowder%2Bcandles%2Btc%2Caps%2C230&sr=8-39&th=1,3,https://m.media-amazon.com/images/I/41FoUoBJTuL._SY445_SX342_QL70_FMwebp_.jpg
42,Male,Father,Father's Day,500,"Theater,Gardening,Public Speaking,Vlogging",Mini Projector,Personalized for a special touch mini projector,https://www.amazon.in/MEGAWISE-Projector-Bluetooth-Smartphone-MP42/dp/B0DKXXKCMZ/ref=sr_1_16?crid=1G72E6JBUCZUI&dib=eyJ2IjoiMSJ9.cn-dCIXOIxs-MYx5xbDyKcC8cVCZtTVaVA0STQuHEVmZ3BMW213ZMr7Jrn-2m6ro4R2iEI-GilH2QNE_Ro2FxHrxRTyMR3Qcdu44lrCaFTbsx2pEKyGjZ_YDG2_7nVvKdMhRTZBNySg6Ichf6SZspeC793DjaCP-6ZORZbSCiFhMa42796fGlEZm_C4cb4WbaVzV_m5rkC1PlbrsWd_bVsxm8OCcwmcyWneQdTFcEMo.sXfyJ1boL7xCI1z3OGFHyZgMCH9SE3c0GlMW_N9wdSw&dib_tag=se&keywords=mini%2Bprojector&qid=1746540569&sprefix=mini%2Bprojector%2Caps%2C237&sr=8-16&th=1,3,https://m.media-amazon.com/images/I/41y4ZZ+BzQL._SX300_SY300_.jpg
