age,gender,relationship,occasion,budget,interests,gift_name,description,link,rating,image_link
30,Male,Boss,Retirement,5000,"Art,Photography,Vlogging,Technology",Photo Frame,Handmade with love photo frame,https://example.com/photoframe,3,https://m.media-amazon.com/images/I/41C4RggFdQL._SX300_SY300_QL70_FMwebp_.jpg
35,Male,Colleague,Retirement,10000,"Art,Reading",Spa Kit,Comfortable and useful spa kit,https://example.com/spakit,4,https://m.media-amazon.com/images/I/41+txdK0qoL._SY300_SX300_.jpg
24,Male,Boyfriend,Promotion,5000,"Photography,Spirituality,Investing,Crafts",Yoga Mat,Personalized for a special touch yoga mat,https://example.com/yogamat,3,https://m.media-amazon.com/images/I/31GVCmoTUML._SX300_SY300_QL70_FMwebp_.jpg
58,Male,Grandfather,Raksha Bandhan,5000,"Magic,Makeup,Nature",Bookshelf,Trendy and stylish bookshelf,https://example.com/bookshelf,4,https://m.media-amazon.com/images/I/51P2DNKxmvL._SX300_SY300_QL70_FMwebp_.jpg
18,Male,Friend,Farewell,200,"Environment,Music,Astronomy",Hiking Gear,Personalized for a special touch hiking gear,https://example.com/hikinggear,5,https://m.media-amazon.com/images/I/510qeYIJkmL._SL1500_.jpg
45,Female,Colleague,Raksha Bandhan,50000,"Cooking,Health,Meditation,Fitness",Backpack,High quality backpack,https://example.com/backpack,4,https://m.media-amazon.com/images/I/71r+J3NgYzL._SX679_.jpg
18,Male,Boss,Farewell,1000,"Magic,Politics",Art Supplies,High quality art supplies,https://example.com/artsupplies,4,https://m.media-amazon.com/images/I/51fSfApv5wL._SX300_SY300_QL70_FMwebp_.jpg
50,Female,Neighbor,Promotion,2000,"Photography,Animals,Politics",LED Lamp,Tech-savvy and modern led lamp,https://example.com/ledlamp,4,https://m.media-amazon.com/images/I/411v+SjYMQL._SX342_SY445_.jpg
23,Female,Grandmother,Farewell,1000,"Finance,Reading",Gaming Mouse,Eco-friendly materials gaming mouse,https://example.com/gamingmouse,5,https://m.media-amazon.com/images/I/41BbFDMMxVS._SX300_SY300_QL70_FMwebp_.jpg
30,Male,Friend,Achievement Celebration,50000,"Dance,Music",Hiking Gear,Trendy and stylish hiking gear,https://example.com/hikinggear,4,https://m.media-amazon.com/images/I/31a9ONnV4qL._SX300_SY300_QL70_FMwebp_.jpg
54,Female,Boss,Raksha Bandhan,50000,"Art,Fitness",Personalized Mug,Tech-savvy and modern personalized mug,https://example.com/personalizedmug,4,https://m.media-amazon.com/images/I/41SXEGUSZ-L._SX300_SY300_QL70_FMwebp_.jpg
25,Male,Husband,Baby & Expecting,200,"Cars,Crafts,Blogging,Anime",Coffee Maker,Premium design coffee maker,https://example.com/coffeemaker,5,https://m.media-amazon.com/images/I/41XzaiJwNNL._SX300_SY300_QL70_FMwebp_.jpg
50,Female,Fianc̩e,Birthday,50000,"Food,Crafts,Dance,Reading",Hiking Gear,Personalized for a special touch hiking gear,https://example.com/hikinggear,5,https://m.media-amazon.com/images/I/414wcLO67JL._SX300_SY300_QL70_FMwebp_.jpg
19,Female,Mentor,Retirement,10000,"Travel,Comedy,Technology",Coffee Maker,Personalized for a special touch coffee maker,https://example.com/coffeemaker,4,https://m.media-amazon.com/images/I/61n1lIPtE+L._SL1100_.jpg
43,Female,Aunt,Retirement,10000,"Adventure,Animals,Fashion,Environment",Elegant Pendant,Tech-savvy and modern elegant pendant,https://example.com/elegantpendant,5,https://m.media-amazon.com/images/I/61rknLeb40L._SY500_.jpg
28,Female,Fianc̩e,Bridal Shower,200,"Investing,Food",Cookware Set,Comfortable and useful cookware set,https://example.com/cookwareset,3,https://m.media-amazon.com/images/I/51EGSulsvEL._SX300_SY300_QL70_FMwebp_.jpg
42,Female,Aunt,Karva Chauth,50000,"Magic,Meditation,Comedy,Cars",Massage Gun,Comfortable and useful massage gun,https://example.com/massagegun,5,https://m.media-amazon.com/images/I/41jC-JKlbGL._SX300_SY300_QL70_FMwebp_.jpg
31,Male,Uncle,Graduation,5000,"History,Spirituality,Blogging",Leather Wallet,Comfortable and useful leather wallet,https://example.com/leatherwallet,3,https://m.media-amazon.com/images/I/31qCnxFBKzL._SX300_SY300_QL70_FMwebp_.jpg
40,Female,Fianc̩e,Promotion,10000,"Anime,Travel,Gaming",Laptop Stand,High quality laptop stand,https://example.com/laptopstand,4,https://m.media-amazon.com/images/I/31azbiuPhGL._SX300_SY300_QL70_FMwebp_.jpg
40,Female,Mother,Housewarming,10000,"Volunteering,Photography,Nature",Customized T-shirt,Trendy and stylish customized t-shirt,https://example.com/customizedt-shirt,4,https://m.media-amazon.com/images/I/714HT7k1mhL._SX679_.jpg
19,Male,Mentor,Raksha Bandhan,200,"Technology,Makeup,Adventure,Board Games",Handmade Bracelet,Premium design handmade bracelet,https://example.com/handmadebracelet,5,https://m.media-amazon.com/images/I/716wrVSSAmL._SX500_.jpg
42,Male,Father,Anniversary,10000,"Cooking,DIY",Jewelry Box,A perfect gift for any occasion jewelry box,https://example.com/jewelrybox,4,https://m.media-amazon.com/images/I/51Wc8NDmP5L._SX300_SY300_QL70_FMwebp_.jpg
28,Female,Daughter,Raksha Bandhan,200,"Art,Astronomy",Art Supplies,Eco-friendly materials art supplies,https://example.com/artsupplies,3,https://m.media-amazon.com/images/I/51mfT-WFxRL._SY300_SX300_QL70_FMwebp_.jpg
28,Female,Wife,Friendship Day,5000,"Magic,Gaming",Desk Organizer,A perfect gift for any occasion desk organizer,https://example.com/deskorganizer,5,https://m.media-amazon.com/images/I/41657+kSpwL._SY300_SX300_.jpg
26,Male,Son,Father's Day,200,"Fitness,Food",Jewelry Box,Personalized for a special touch jewelry box,https://example.com/jewelrybox,4,https://m.media-amazon.com/images/I/41RRASIKQQL._SX300_SY300_QL70_FMwebp_.jpg
25,Female,Teammate,Promotion,500,"Vlogging,Environment",LED Lamp,Handmade with love led lamp,https://example.com/ledlamp,5,https://m.media-amazon.com/images/I/415nbggcNvL._SX300_SY300_QL70_FMwebp_.jpg
36,Male,Mentor,Father's Day,1000,"Sports,DIY,Science,Makeup",Bookshelf,Comfortable and useful bookshelf,https://example.com/bookshelf,3,https://m.media-amazon.com/images/I/41xzpt8jCVL._SX300_SY300_QL70_FMwebp_.jpg
23,Female,Colleague,Housewarming,500,"Finance,Languages",Jewelry Box,Comfortable and useful jewelry box,https://example.com/jewelrybox,3,https://m.media-amazon.com/images/I/81xKVfcJASL._SY500_.jpg
52,Male,Brother,Housewarming,1000,"Crafts,Blogging",Cookware Set,Compact and practical cookware set,https://example.com/cookwareset,5,https://m.media-amazon.com/images/I/51HaYVy6TnL._SX300_SY300_QL70_FMwebp_.jpg
29,Male,Husband,Housewarming,50000,"Comedy,Politics,Gardening,Meditation",Smartwatch,Compact and practical smartwatch,https://example.com/smartwatch,5,https://m.media-amazon.com/images/I/41JOEoDB3CL._SX300_SY300_QL70_FMwebp_.jpg
38,Male,Teacher,Retirement,1000,"Health,Travel",Gaming Mouse,Handmade with love gaming mouse,https://example.com/gamingmouse,4,https://m.media-amazon.com/images/I/31xsKmxYpBL._SX300_SY300_QL70_FMwebp_.jpg
46,Female,Boss,Promotion,5000,"Technology,Vlogging,Home Decor,Science",Desk Organizer,Compact and practical desk organizer,https://example.com/deskorganizer,5,https://m.media-amazon.com/images/I/41znuuJM8OL._SX300_SY300_QL70_FMwebp_.jpg
54,Female,Colleague,Women's Day,200,"Coding,Magic,Meditation",Backpack,High quality backpack,https://example.com/backpack,3,https://m.media-amazon.com/images/I/81+kiRK+tGL._SX569_.jpg
35,Male,Husband,Father's Day,500,"Podcasts,Movies,Crafts",Yoga Mat,High quality yoga mat,https://example.com/yogamat,3,https://m.media-amazon.com/images/I/41lZy1VLKdL._SX300_SY300_QL70_FMwebp_.jpg
34,Male,Mentor,Birthday,1000,"Art,Podcasts",Photo Frame,Compact and practical photo frame,https://example.com/photoframe,5,https://m.media-amazon.com/images/I/41Kf0pB+DOL._SY300_SX300_.jpg
18,Female,Boss,Karva Chauth,500,"DIY,Travel,Adventure,Blogging",Hiking Gear,Comfortable and useful hiking gear,https://example.com/hikinggear,4,https://m.media-amazon.com/images/I/41Q5NE+mJ7L._SY300_SX300_.jpg
55,Male,Neighbor,Retirement,1000,"Anime,Travel",Subscription Box,Tech-savvy and modern subscription box,https://example.com/subscriptionbox,4,https://m.media-amazon.com/images/I/41Q36WwZRpL._SX300_SY300_QL70_FMwebp_.jpg
38,Female,Daughter,Diwali,200,"Cooking,Food",Mini Projector,Tech-savvy and modern mini projector,https://example.com/miniprojector,4,https://m.media-amazon.com/images/I/411RZ0UxkOL._SX300_SY300_QL70_FMwebp_.jpg
57,Female,Cousin,Baby & Expecting,2000,"Cars,Education,Nature",Leather Wallet,Personalized for a special touch leather wallet,https://example.com/leatherwallet,5,https://m.media-amazon.com/images/I/31Bk2REiexL._SY300_SX300_.jpg
58,Female,Friend,Mother's Day,200,"Education,Languages,Home Decor,Coding",Desk Organizer,A perfect gift for any occasion desk organizer,https://example.com/deskorganizer,3,https://m.media-amazon.com/images/I/41ESWIrT2LL._SX300_SY300_QL70_FMwebp_.jpg
60,Male,Uncle,Friendship Day,500,"Animals,Adventure",Leather Wallet,A perfect gift for any occasion leather wallet,https://example.com/leatherwallet,5,https://m.media-amazon.com/images/I/51P+GRLC9FL._SY300_SX300_.jpg
40,Female,Neighbor,Achievement Celebration,500,"DIY,Public Speaking,Podcasts,Blogging",Spa Kit,Eco-friendly materials spa kit,https://example.com/spakit,3,https://m.media-amazon.com/images/I/41J4-QQNCXL._SX300_SY300_QL70_FMwebp_.jpg
27,Male,Friend,Graduation,10000,"Gardening,Languages,Makeup,Spirituality",Jewelry Box,Comfortable and useful jewelry box,https://example.com/jewelrybox,4,https://m.media-amazon.com/images/I/61YrFaEyc0L._SY450_.jpg
53,Female,Teacher,Baby & Expecting,1000,"Adventure,History",Art Supplies,Handmade with love art supplies,https://example.com/artsupplies,3,https://m.media-amazon.com/images/I/51eZqmOH0sL._SX300_SY300_QL70_FMwebp_.jpg
46,Female,Mother,New Year's,200,"Fitness,Public Speaking,Magic,Finance",Smartwatch,A perfect gift for any occasion smartwatch,https://example.com/smartwatch,3,https://m.media-amazon.com/images/I/61PiR6vPa4L._SX569_.jpg
51,Male,Uncle,Housewarming,50000,"Fitness,Nature",Massage Gun,Tech-savvy and modern massage gun,https://example.com/massagegun,4,https://m.media-amazon.com/images/I/31mwvVg7NWL._SX300_SY300_QL70_FMwebp_.jpg
55,Male,Friend,Baby & Expecting,500,"Photography,Travel",Painting Kit,Compact and practical painting kit,https://example.com/paintingkit,3,https://m.media-amazon.com/images/I/510o4fWJOOL._SX300_SY300_QL70_FMwebp_.jpg
45,Male,Son,New Year's,50000,"Board Games,Meditation,Languages,Comedy",Art Supplies,Premium design art supplies,https://example.com/artsupplies,5,https://m.media-amazon.com/images/I/81-DjeKrt0L._SX425_.jpg
46,Female,Grandmother,New Year's,10000,"Meditation,Travel,Reading",Scented Candles,High quality scented candles,https://example.com/scentedcandles,4,https://m.media-amazon.com/images/I/51ZNw6c6qtL._SY445_SX342_QL70_FMwebp_.jpg
44,Male,Boyfriend,New Year's,2000,"Gardening,Comedy,Sports,Animals",Indoor Plant,Premium design indoor plant,https://example.com/indoorplant,5,https://m.media-amazon.com/images/I/41on7eSpBqL._SX300_SY300_QL70_FMwebp_.jpg
31,Female,Friend,Promotion,200,"Science,Languages,Coding",Smartwatch,A perfect gift for any occasion smartwatch,https://example.com/smartwatch,5,https://m.media-amazon.com/images/I/61w+WVm67yL._SX569_.jpg
57,Female,Aunt,Bridal Shower,10000,"Public Speaking,Astronomy,Coding",Bookshelf,A perfect gift for any occasion bookshelf,https://example.com/bookshelf,5,https://m.media-amazon.com/images/I/51zNC090v4L._SX300_SY300_QL70_FMwebp_.jpg
29,Male,Uncle,Diwali,500,"Reading,Art,Sports,Science",Cookware Set,Tech-savvy and modern cookware set,https://example.com/cookwareset,4,https://m.media-amazon.com/images/I/41gbM8MzDyL._SX300_SY300_QL70_FMwebp_.jpg
26,Female,Neighbor,Friendship Day,5000,"Blogging,Fitness",PS5 Controller,Personalized for a special touch ps5 controller,https://example.com/ps5controller,5,https://m.media-amazon.com/images/I/41ab6BapiyL._SX300_SY300_QL70_FMwebp_.jpg
32,Female,Daughter,Promotion,50000,"Music,Adventure,Fashion,Anime",Gaming Mouse,Comfortable and useful gaming mouse,https://example.com/gamingmouse,3,https://m.media-amazon.com/images/I/31vZFbCT6gL._SX300_SY300_QL70_FMwebp_.jpg
30,Male,Friend,Sports Victory,5000,"Movies,Board Games,Investing",Smartwatch,Handmade with love smartwatch,https://example.com/smartwatch,3,https://m.media-amazon.com/images/I/410M25g-LkL._SX300_SY300_QL70_FMwebp_.jpg
27,Male,Husband,Birthday,5000,"Finance,Movies",Camera Lens,High quality camera lens,https://example.com/cameralens,5,https://m.media-amazon.com/images/I/418McKfcZPL._SY300_SX300_QL70_FMwebp_.jpg
40,Male,Husband,Promotion,10000,"Travel,Vlogging",Bluetooth Speaker,Compact and practical bluetooth speaker,https://example.com/bluetoothspeaker,4,https://m.media-amazon.com/images/I/41giaP+gTUL._SY300_SX300_.jpg
46,Male,Father,Christmas,200,"Gaming,Fitness,Art,Blogging",Leather Wallet,Premium design leather wallet,https://example.com/leatherwallet,5,https://m.media-amazon.com/images/I/51bC4fDX60L._SY300_SX300_QL70_FMwebp_.jpg
41,Female,Mentor,Promotion,5000,"Art,Languages,Sports,Writing",Elegant Pendant,Handmade with love elegant pendant,https://example.com/elegantpendant,4,https://m.media-amazon.com/images/I/41D-Vej5TVL.jpg
60,Male,Cousin,Achievement Celebration,200,"Travel,Sports,Spirituality,Board Games",Customized T-shirt,Comfortable and useful customized t-shirt,https://example.com/customizedt-shirt,3,https://m.media-amazon.com/images/I/41XU5rcrA2L.jpg
44,Female,Teammate,Birthday,10000,"Volunteering,Environment,Nature,Vlogging",Desk Organizer,A perfect gift for any occasion desk organizer,https://example.com/deskorganizer,4,https://m.media-amazon.com/images/I/51XHse39Y5L._SX300_SY300_QL70_FMwebp_.jpg
